Product,Current Factory,Recommended Factory,Current Lead Time,Predicted Lead Time,Improvement (Days),Avg Gross Profit
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,1316.76,1280.28,36.48,8.16
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,1325.66,1280.28,45.38,9.24
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,1328.92,1280.28,48.64,9.29
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,1320.64,1280.28,40.36,9.38
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,1314.24,1280.28,33.96,9.13
Wonka Gum,Secret Factory,The Other Factory,1306.53,1280.28,26.25,2.59
Kazookles,The Other Factory,The Other Factory,1272.99,1280.28,-7.29,0.97
Lickable Wallpaper,Secret Factory,The Other Factory,1339.14,1280.28,58.86,41.81
Fizzy Lifting Drinks,Sugar Shack,The Other Factory,1273.5,1280.28,-6.78,7.88
Laffy Taffy,Sugar Shack,The Other Factory,1383.1,1280.28,102.82,3.35
SweeTARTS,Sugar Shack,The Other Factory,1383.5,1280.28,103.22,2.87
Nerds,Sugar Shack,The Other Factory,1274.0,1280.28,-6.28,1.75
Hair Toffee,The Other Factory,The Other Factory,1455.25,1280.28,174.97,14.88
Everlasting Gobstopper,Secret Factory,The Other Factory,1394.67,1280.28,114.39,34.67
Fun Dip,Sugar Shack,The Other Factory,1272.67,1280.28,-7.61,1.6
